,1,2,3
2.21,3.668335999286249e-05,0.0001584808126404162,3.597843292627141e-06
2.22,3.7542704874647055e-05,0.0001639213519164931,3.854321249054771e-06
2.23,3.8420313985503086e-05,0.00016952394915305743,4.127929226490592e-06
2.24,3.931652526787361e-05,0.0001752924456407329,4.419723189565708e-06
2.25,4.023168161768694e-05,0.00018123073612167384,4.73081775001947e-06
2.2600000000000002,4.116613092404732e-05,0.00018734276807360416,5.0623889730693175e-06
2.27,4.2120226108362465e-05,0.00019363254092147987,5.415677287778157e-06
2.2800000000000002,4.309432516286898e-05,0.00020010410517488415,5.791990503276623e-06
2.29,4.408879118853126e-05,0.00020676156148920726,6.192706932578429e-06
2.3000000000000003,4.510399243227155e-05,0.00021360905964870654,6.619278625592364e-06
2.31,4.6140302323508874e-05,0.00022065079746953816,7.0732347128084066e-06
2.32,4.719809950996943e-05,0.00022789101962099312,7.556184860982658e-06
2.33,4.82777678927318e-05,0.00023533401636296572,8.069822841952862e-06
2.34,4.937969666047455e-05,0.0002429841221979612,8.615930215566147e-06
2.35,5.05042803228983e-05,0.00025084571443583577,9.196380127471065e-06
2.36,5.165191874327277e-05,0.0002589232116696041,9.813141222326086e-06
2.37,5.28230171700838e-05,0.00026722107216051616,1.0468281672724537e-05
2.38,5.401798626774307e-05,0.0002757437921308852,1.1163973323898941e-05
2.39,5.5237242146316426e-05,0.000284495903963079,1.1902495953987055e-05
2.4,5.6481206390232314e-05,0.0002934819743030306,1.2686241649334415e-05
2.41,5.7750306085951237e-05,0.000302706602066962,1.3517719294040653e-05
2.42,5.9044973848527805e-05,0.0003121744163498599,1.439955917256528e-05
2.43,6.036564784704912e-05,0.0003218900742343175,1.533451768390157e-05
2.44,6.171277182888964e-05,0.00033185825849852134,1.6325482165445178e-05
2.45,6.30867951427796e-05,0.0003420836752223471,1.7375475824259265e-05
2.46,6.448817276057859e-05,0.00035257105129009753,1.848766277306406e-05
2.47,6.591736529779506e-05,0.0003633251317894093,1.9665353167802412e-05
2.48,6.737483903273814e-05,0.00037435067730484173,2.0912008443196848e-05
2.49,6.88610659243061e-05,0.0003856524611058003,2.2231246642220703e-05
2.5,7.037652362833511e-05,0.00039723526622767225,2.362684783486422e-05
2.5100000000000002,7.192169551250141e-05,0.0004091038824459973,2.510275962114406e-05
2.52,7.349707066969462e-05,0.00042126310314273313,2.666310271262582e-05
2.5300000000000002,7.510314392983255e-05,0.000433717722064451,2.8312176586230457e-05
2.54,7.674041587009432e-05,0.0004464725299722177,3.0054465203529812e-05
2.5500000000000003,7.840939282348705e-05,0.0004595323111829591,3.189464278800547e-05
2.56,8.011058688571764e-05,0.0004729018400021436,3.383757965220961e-05
2.57,8.184451592034678e-05,0.0004865858770482531,3.588834806609082e-05
2.58,8.361170356213269e-05,0.0005005891654688831,3.8052228156970836e-05
2.59,8.541267921854358e-05,0.0005149164270491346,4.0334713831113316e-05
2.6,8.72479780694074e-05,0.0005295723582127856,4.274151870594589e-05
2.61,8.911814106460888e-05,0.0005445616259169237,4.527858204141461e-05
2.62,9.102371491982e-05,0.0005598888634407911,4.795207465804606e-05
2.63,9.296525211019245e-05,0.0005755586660699123,5.07684048285958e-05
2.64,9.494331086199381e-05,0.0005915755866768858,5.373422412947297e-05
2.65,9.695845514209681e-05,0.0006079441311997527,5.6856433237089574e-05
2.66,9.901125464530559e-05,0.0006246687540197933,6.0142187653717036e-05
2.67,0.00010110228477944144,0.0006417538532402248,6.359890334653458e-05
2.68,0.0001032321266481776,0.0006592037658678857,6.723426228262594e-05
2.69,0.000105401367031524,0.0006770227628996208,7.105621784205871e-05
2.7,0.00010761059836394512,0.0006952150443159785,7.50730000901171e-05
2.71,0.00010986041871005165,0.0007137847339842772,7.929312088916928e-05
2.72,0.00011215143173779678,0.000732735874473774,8.372537882960414e-05
2.73,0.00011448424668917372,0.0007520724217859607,8.837886395854311e-05
2.74,0.00011685947834830351,0.0007717982400024701,9.326296228431762e-05
2.75,0.0001192777470068888,0.0007919170958542788,9.838736003364933e-05
2.7600000000000002,0.00012173967842701083,0.0008124326532153237,0.00010376204763791015
2.77,0.00012424590380116597,0.0008333484675241864,0.000109397323424048
2.7800000000000002,0.00012679705970950462,0.0008546679801374331,0.00011530379698471972
2.79,0.00012939378807427416,0.0008763945126191083,0.00012149239220190876
2.8000000000000003,0.00013203673611132376,0.0008985312609699905,0.00012797434989730253
2.81,0.0001347265562786967,0.0009210812898013702,0.0001347612300819469
2.82,0.00013746390622220459,0.0009440475264576159,0.00014186491377746747
2.83,0.00014024944871799077,0.0009674327550929637,0.00014929760438007922
2.84,0.00014308385161196374,0.0009912396107066737,0.00015707182853850446
2.85,0.00014596778775610326,0.0010154705731424626,0.00016520043651607486
2.86,0.0001489019349415648,0.0010401279610572627,0.00017369660200692438
2.87,0.00015188697582852018,0.0010652139258647856,0.00018257382137615842
2.88,0.0001549235978727353,0.0010907304456605111,0.00019184591229293938
2.89,0.00015801249324876788,0.0011166793191326608,0.00020152701172562875
2.9,0.00016115435876977793,0.001143062159466831,0.0002116315732680452
2.91,0.0001643498958039013,0.001169880388249695,0.0002221743637651477
2.92,0.0001675998101870979,0.0011971352293785372,0.00023317045920720055
2.93,0.0001709048121325118,0.0012248277029836784,0.00024463523986123444
2.94,0.00017426561613617284,0.0012529586193704215,0.00025658438460840905
2.95,0.00017768294087912198,0.001281528572987437,0.0002690338644569302
2.96,0.0001811575091258089,0.0013105379364294026,0.00028199993519962483
2.97,0.0001846900476187806,0.0013399868544806991,0.00029549912918676807
2.98,0.00018828128696959492,0.0013698752382082077,0.0003095482461841217
2.99,0.00019193196154588298,0.0014002027591101965,0.0003241643432878073
3.0,0.00019564280935461005,0.0014309688433306231,0.0003393647238684322
3.0100000000000002,0.0001994145719213727,0.0014621726659449987,0.0003551669255166475
3.02,0.00020324799416575383,0.0014938131453269517,0.00037158870696484323
3.0300000000000002,0.00020714382427273234,0.0015258889376042,0.0003886480339603783
3.04,0.00021110281356000827,0.0015583984312108673,0.0004063630640660479
3.0500000000000003,0.00021512571634129475,0.0015913397415459175,0.0004247521303668798
3.06,0.00021921328978546318,0.0016247107057450886,0.0004438337240617127
3.0700000000000003,0.00022336629377160168,0.0016585088775763837,0.0004636264759222645
3.08,0.00022758549073984,0.0016927315224662218,0.00048414913660141525
3.09,0.00023187164553797795,0.0017273756126659236,0.0005054205557768032
3.1,0.00023622552526386675,0.0017624378225671639,0.0005274596601171736
3.11,0.0002406478991034885,0.0017979145241748971,0.0005502854300603277
3.12,0.00024513953816475496,0.001833801782747403,0.0005739168753956677
3.13,0.00024970121530694134,0.0018700953526109977,0.0005983730096454938
3.14,0.0002543337049657452,0.0019067906731596229,0.0006236728232425546
3.15,0.0002590377829739317,0.0019438828650470412,0.000649835255504406
3.16,0.00026381422637761074,0.0019813667265815055,0.0006768791654072128
3.17,0.00026866381324801156,0.002019236730330557,0.0007048233011664935
3.18,0.0002735873224887754,0.00205748701994563,0.0007336862686334675
3.19,0.00027858553363883004,0.002096111407214444,0.0007634864985207195
3.2,0.00028365922667067655,0.0021351033693505213,0.000794242212474054
3.21,0.0002888091817841661,0.0021744560465266544,0.0008259713880098075
3.22,0.00029403617919577634,0.002214162239663562,0.0008586917223431703
3.23,0.0002993409989232863,0.002254214408478484,0.0008924205951346529
3.24,0.0003047244205658625,0.0022946046698043366,0.000927175030185798
3.25,0.0003101872230796465,0.002335324796187259,0.0009629716561228459
3.2600000000000002,0.00031573018454867063,0.0023763662147676338,0.0009998266661044232
3.27,0.00032135408195123593,0.0024177200064566837,0.0010377557766019399
3.2800000000000002,0.0003270596909216626,0.0024593769054108467,0.001076774185297611
3.29,0.00033284778550746934,0.002501327298815437,0.0011168965281553882
3.3000000000000003,0.00033871913792190986,0.0025435612269824113,0.0011581368357217337
3.31,0.0003446745182919979,0.0025860683837682077,0.0012005084887159944
3.3200000000000003,0.00035071469440186513,0.0026288381173206407,0.0012440241729799564
3.33,0.0003568404314315492,0.0026718594311574543,0.0012886958338537329
3.34,0.0003630524916912734,0.002715120985585707,0.0013345346300540758
3.35,0.0003693516343511043,0.002758611099466075,0.0013815508871364368
3.36,0.00037573861516607766,0.0028023177523250945,0.0014297540506194503
3.37,0.00038221418619683076,0.0028462285868253922,0.0014791526388649562
3.38,0.0003887790955257081,0.0028903309115921733,0.0015297541958023634
3.39,0.0003954340869683459,0.002934611704404577,0.001581565243593135
3.4,0.00040217989978091396,0.0029790576157550184,0.0016345912353390331
3.41,0.0004090172683628166,0.0030236549727763054,0.0016888365079318571
3.42,0.0004159469219550219,0.0030683897835440837,0.0017443042351589712
3.43,0.0004229695843340946,0.0031132477417549274,0.0018009963811712957
3.44,0.000430085973501844,0.0031582142317806146,0.0018589136544279994
3.45,0.0004372968013706501,0.0032032743341035307,0.001918055462239966
3.46,0.0004446027734446837,0.003248412831131242,0.001978419866026525
3.47,0.0004520045884967956,0.003293614213392468,0.0020400035374123467
3.48,0.00045950293824128467,0.0033388626861148964,0.002102801715291539
3.49,0.0004670985070026612,0.0033841421761823774,0.0021668081639805697
3.5,0.00047479197138026243,0.003429436339473784,0.002232015132597779
3.5100000000000002,0.00048258399990895286,0.0034747285685794538,0.002298413315793087
